id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
72,,,02_Frg_3ii_b_א_ROI.tif:3139-3470-72:2,11160,99.548,24,118,3393,3103,155,72,0.68,2.153,0.465,1,59,,   ,,,,,,6,,,,,
50,,,02_Frg_3ii_b_א_ROI.tif:3135-3347:2,7189,65.947,23,110,3302,3096,91,79,0.781,1.152,0.868,1,60,,ב,,,,,,6,,,,,
51,,,02_Frg_3ii_b_א_ROI.tif:3130-3249:2,5915,71.098,16,116,3217,3085,65,91,0.764,1.4,0.714,1,61,,י,,,,,,6,,,,,
52,,,02_Frg_3ii_b_א_ROI.tif:3113-3149:2,10235,70.224,13,116,3092,3069,115,89,0.773,1.292,0.774,1,62,,ד,,,,,,6,,,,,
55,,,02_Frg_3ii_b_א_ROI.tif:3496-4542:2,8944,69.095,22,97,4490,3453,104,86,0.778,1.209,0.827,1,63,,א,,,,,,7,,,,,
56,,,02_Frg_3ii_b_א_ROI.tif:3478-4433:2,12064,78.905,44,110,4381,3420,104,116,0.783,1.115,0.897,1,64,,ת,,,,,,7,,,,,
69,,,02_Frg_3ii_b_א_ROI.tif:3466-4330-69:2,6969,86.581,17,107,4280,3432,101,69,0.758,1.464,0.683,1,65,,   ,   ,,,,,7,,,,,
57,,,02_Frg_3ii_b_א_ROI.tif:3443-4261:2,1444,63.642,16,96,4242,3424,38,38,0.785,1,1,1,66,,י,,,,,,7,,,,,
54,,,02_Frg_3ii_b_א_ROI.tif:3394-3927:2,468,79.011,49,101,3914,3385,26,18,0.759,1.444,0.692,1,67,,◦,,,,,,7,,,,,
53,,,02_Frg_3ii_b_א_ROI.tif:3200-3514:2,7526,65.313,20,114,3479,3147,71,106,0.755,1.493,0.67,1,68,,ל,,,,,,7,,,,,Does this join with the next fragment in the character of lamed?
