id,sqe_master_id,roi_id,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,Commentary
,,54,02_Frg_1_a_ROI.tif:2108-2926:1,6862,30.237,12,69,2879,2072,94,73,0.773,1.288,0.777,1,55,,◦,,,,,,3,,,,,"PAM 42383 shows a mark above the {{char:yod}}. This is most likely a cancelation dot, which can be explained on the basis of syntax"
,,55,02_Frg_1_a_ROI.tif:2224-2831:1,24021,32.533,13,69,2753,2148,157,153,0.785,1.026,0.975,1,56,,ה,,,,,,3,,,,,
,,56,02_Frg_1_a_ROI.tif:2217-2696:1,12986,37.177,23,65,2653,2142,86,151,0.726,1.756,0.57,1,57,,20,,,,,,3,,,,,
,,57,02_Frg_1_a_ROI.tif:2117-2617:1,30456,26.822,10,57,2570,1955,94,324,0.548,3.447,0.29,1,58,,ל,,,,,,3,,,,,
,,58,02_Frg_1_a_ROI.tif:2205-2532:1,23520,25.891,8,57,2452,2132,160,147,0.784,1.088,0.919,1,59,,ה,,,,,,3,,,,,
,,59,02_Frg_1_a_ROI.tif:2206-2399:1,21175,29.864,9,66,2339,2119,121,175,0.759,1.446,0.691,1,60,,ב,,,,,,3,,,,,
,,60,02_Frg_1_a_ROI.tif:2199-2313:1,12956,37.654,11,71,2272,2120,82,158,0.707,1.927,0.519,1,61,,י,,,,,,3,,,,,
,,61,02_Frg_1_a_ROI.tif:2195-2257:1,9072,51.593,33,82,2230,2111,54,168,0.578,3.111,0.321,1,62,,20,,,,,,3,,,,,
,,62,02_Frg_1_a_ROI.tif:2174-2197:1,14448,47.068,18,82,2155,2088,84,172,0.693,2.048,0.488,1,63,,כ,,,,,,3,,damaged,,,
,,63,02_Frg_1_a_ROI.tif:2087-2115:1,22320,30.4,7,73,2070,1963,90,248,0.614,2.756,0.363,1,64,,ל,,,,,,3,,damaged,,,PAM 43281_Frg_1 has a bit of ink above the lower portion of ink. This would make sense if it were a Lamed. We changed to Lamed on 22.05.2018.
,,64,02_Frg_1_a_ROI.tif:2547-4610:1,28320,17.98,6,86,4530,2459,160,177,0.783,1.106,0.904,1,65,,◦,מ,,,,,3,,damaged,,,
,,65,02_Frg_1_a_ROI.tif:2462-4467:1,58400,38.919,7,152,4387,2280,160,365,0.666,2.281,0.438,1,66,,ל,,,,,,4,,,,,
,,66,02_Frg_1_a_ROI.tif:2560-4420:1,12986,27.96,7,77,4377,2485,86,151,0.726,1.756,0.57,1,67,,20,,,,,,4,,damaged,,,
,,67,02_Frg_1_a_ROI.tif:2565-4343:1,19305,39.87,7,85,4285,2483,117,165,0.763,1.41,0.709,1,68,,מ,,,,,,4,,,,,
,,68,02_Frg_1_a_ROI.tif:2559-4229:1,18724,50.379,22,74,4167,2484,124,151,0.778,1.218,0.821,1,69,,ס,,,,,,4,,damaged,,,
,,69,02_Frg_1_a_ROI.tif:2548-4128:1,15000,35.778,15,71,4078,2473,100,150,0.754,1.5,0.667,1,70,,י,,,,,,4,,,,,
,,70,02_Frg_1_a_ROI.tif:2564-4041:1,21735,29.392,15,58,3974,2484,135,161,0.779,1.193,0.839,1,71,,ג,,,,,,4,,,,,
,,71,02_Frg_1_a_ROI.tif:2548-3933:1,13376,31.539,15,58,3889,2472,88,152,0.73,1.727,0.579,1,72,,י,,,,,,4,,,,,
,,72,02_Frg_1_a_ROI.tif:2581-3872:1,12710,32.173,21,54,3831,2504,82,155,0.711,1.89,0.529,1,73,,20,,,,,,4,,,,,
,,73,02_Frg_1_a_ROI.tif:2583-3798:1,22194,33.119,19,58,3730,2502,137,162,0.78,1.182,0.846,1,74,,ג,,,,,,4,,,,,
,,74,02_Frg_1_a_ROI.tif:2578-3673:1,19656,27.64,14,54,3610,2500,126,156,0.777,1.238,0.808,1,75,,ב,,,,,,4,,,,,
,,75,02_Frg_1_a_ROI.tif:2577-3588:1,14280,24.777,13,47,3546,2492,84,170,0.695,2.024,0.494,1,76,,ו,,,,,,4,,,,,
,,76,02_Frg_1_a_ROI.tif:2494-3491:1,51000,25.338,12,57,3416,2324,150,340,0.667,2.267,0.441,1,77,,ל,,,,,,4,,,,,
,,77,02_Frg_1_a_ROI.tif:2577-3355:1,27380,28.531,14,59,3263,2503,185,148,0.776,1.25,0.8,1,78,,20,,,,,,4,,,,,
,,78,02_Frg_1_a_ROI.tif:2573-3238:1,12180,22.883,10,42,3203,2486,70,174,0.643,2.486,0.402,1,79,,ו,,,,,,4,,,,,
,,79,02_Frg_1_a_ROI.tif:2572-3141:1,18648,24.914,11,43,3086,2488,111,168,0.753,1.514,0.661,1,80,,כ,,,,,,4,,,,,
,,80,02_Frg_1_a_ROI.tif:2488-3053:1,31616,27.784,13,56,3001,2336,104,304,0.597,2.923,0.342,1,81,,ל,,,,,,4,,,,,
,,81,02_Frg_1_a_ROI.tif:2560-2931:1,24764,27.793,12,64,2849,2485,164,151,0.784,1.086,0.921,1,82,,ה,,,,,,4,,,,,
,,82,02_Frg_1_a_ROI.tif:2563-2832:1,10500,29.296,17,65,2797,2488,70,150,0.682,2.143,0.467,1,83,,20,,,,,,4,,,,,
,,83,02_Frg_1_a_ROI.tif:2541-2766:1,16500,28.235,12,58,2711,2466,110,150,0.767,1.364,0.733,1,84,,י,,,,,,4,,,,,
,,84,02_Frg_1_a_ROI.tif:2537-2672:1,14700,26.729,10,58,2622,2464,100,147,0.757,1.47,0.68,1,85,,ע,,,,,,4,,,,,
,,85,02_Frg_1_a_ROI.tif:2559-2540:1,22922,29.606,10,63,2462,2486,157,146,0.784,1.075,0.93,1,86,,ש,,,,,,4,,,,,
,,86,02_Frg_1_a_ROI.tif:2551-2394:1,24160,27.374,6,66,2319,2471,151,160,0.785,1.06,0.944,1,87,,ה,,,,,,4,,,,,
,,87,02_Frg_1_a_ROI.tif:2866-4639:1,20492,59.358,7,99,4545,2812,188,109,0.73,1.725,0.58,1,88,,ה,,,,,,4,,damaged,,,
,,88,02_Frg_1_a_ROI.tif:2819-4472:1,21620,38.726,6,90,4426,2702,92,235,0.635,2.554,0.391,1,89,,20,,,,,,5,,,,,
,,89,02_Frg_1_a_ROI.tif:2875-4399:1,13622,59.244,9,111,4350,2806,98,139,0.762,1.418,0.705,1,89,,ל,,,,,,5,,damaged,,,
,,90,02_Frg_1_a_ROI.tif:2880-4275:1,25752,60.579,28,84,4188,2806,174,148,0.78,1.176,0.851,1,90,,י,,,,,,5,,damaged,,,
,,91,02_Frg_1_a_ROI.tif:2878-4157:1,12110,34.276,18,67,4122,2792,70,173,0.644,2.471,0.405,1,91,,20,,,,,,5,,,,,
,,92,02_Frg_1_a_ROI.tif:2875-4041:1,25420,37.747,19,64,3964,2793,155,164,0.785,1.058,0.945,1,92,,ו,,,,,,5,,,,,
,,93,02_Frg_1_a_ROI.tif:2875-3933:1,15840,36.132,19,69,3884,2795,99,160,0.742,1.616,0.619,1,93,,א,,,,,,5,,,,,
,,94,02_Frg_1_a_ROI.tif:2880-3834:1,21450,34.54,18,68,3769,2798,130,165,0.774,1.269,0.788,1,94,,ו,,,,,,5,,,,,
,,95,02_Frg_1_a_ROI.tif:2872-3730:1,14322,30.177,17,51,3684,2795,93,154,0.737,1.656,0.604,1,95,,ד,,,,,,5,,,,,
,,96,02_Frg_1_a_ROI.tif:2872-3644:1,18368,31.272,15,63,3588,2790,112,164,0.758,1.464,0.683,1,96,,י,,,,,,5,,,,,
,,97,02_Frg_1_a_ROI.tif:2878-3537:1,26568,30.642,15,63,3455,2797,164,162,0.785,1.012,0.988,1,97,,ע,,,,,,5,,,,,
,,98,02_Frg_1_a_ROI.tif:2885-3461:1,8246,26.951,18,53,3430,2819,62,133,0.681,2.145,0.466,1,98,,ה,,,,,,5,,,,,
,,99,02_Frg_1_a_ROI.tif:2833-3404:1,22968,26.643,13,58,3355,2717,99,232,0.659,2.343,0.427,1,99,,20,,,,,,5,,,,,
,,100,02_Frg_1_a_ROI.tif:2906-3326:1,15010,33.965,16,58,3279,2827,95,158,0.737,1.663,0.601,1,100,,ל,,,,,,5,,,,,
,,101,02_Frg_1_a_ROI.tif:2909-3222:1,28539,35.841,7,74,3147,2815,151,189,0.776,1.252,0.799,1,101,,כ,,,,,,5,,,,,
,,102,02_Frg_1_a_ROI.tif:2890-3037:1,22932,30.582,6,79,2974,2799,126,182,0.759,1.444,0.692,1,102,,ם,,,,,,5,,damaged,,,
,,103,02_Frg_1_a_ROI.tif:2892-2930:1,24628,22.835,6,74,2865,2798,131,188,0.76,1.435,0.697,1,103,,20,,,,,,5,,,,,
,,104,02_Frg_1_a_ROI.tif:3201-5155:1,20294,48.068,5,167,5086,3128,139,146,0.785,1.05,0.952,1,104,,מ,,,,,,5,,damaged,,,
,,105,02_Frg_1_a_ROI.tif:3196-5027:1,20592,60.267,7,96,4961,3118,132,156,0.78,1.182,0.846,1,105,,ח,,,,,,5,,damaged,,,
,,106,02_Frg_1_a_ROI.tif:3127-4929:1,32912,34.343,6,96,4869,2991,121,272,0.669,2.248,0.445,1,106,,20,,,,,,6,,,,,
,,107,02_Frg_1_a_ROI.tif:3196-4817:1,21888,48.642,6,89,4741,3124,152,144,0.785,1.056,0.947,1,107,,פ,,,,,,6,,damaged,,,
,,108,02_Frg_1_a_ROI.tif:3190-4713:1,13728,46.437,6,89,4665,3119,96,143,0.755,1.49,0.671,1,108,,ל,,,,,,6,,damaged,,,
,,109,02_Frg_1_a_ROI.tif:3198-4570:1,32900,58.838,7,95,4453,3128,235,140,0.735,1.679,0.596,1,109,,א,,,,,,6,,damaged,,,
,,110,02_Frg_1_a_ROI.tif:3019-4423:1,19845,44.833,7,85,4350,2952,147,135,0.784,1.089,0.918,1,110,,ו,,,,,,6,,damaged,,,
,,111,02_Frg_1_a_ROI.tif:3206-4392:1,20276,57.054,9,91,4324,3132,137,148,0.784,1.08,0.926,1,111,,20,,,,,,6,,,,,
,,112,02_Frg_1_a_ROI.tif:3215-4231:1,19895,50.675,19,76,4174,3129,115,173,0.754,1.504,0.665,1,112,,א,,,,,,6,,supralinear,,,
,,113,02_Frg_1_a_ROI.tif:3203-4144:1,17248,53.491,21,76,4088,3126,112,154,0.766,1.375,0.727,1,113,,ס,,,,,,6,,,,,
,,114,02_Frg_1_a_ROI.tif:3200-4042:1,16677,53.62,26,78,3988,3124,109,153,0.763,1.404,0.712,1,114,,פ,,,,,,6,,damaged,,,
,,115,02_Frg_1_a_ROI.tif:3212-3928:1,21744,50.855,16,83,3856,3137,144,151,0.785,1.049,0.954,1,115,,ר,,,,,,6,,damaged,,,
