id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,44,Frg_2ii_א_char.tif:0001-1113-3520:1,0.018,101.168,46,137,2.835,0.843,0.125,0.147,0.781,1.171,0.854,1,57,,ד,,,,,,3,,,,,
,,45,Frg_2ii_א_char.tif:0001-1098-3377:1,0.009,96.091,48,133,2.734,0.855,0.091,0.097,0.784,1.073,0.932,1,58,,ע,,,,,,3,,,,,
,,46,Frg_2ii_א_char.tif:0001-1124-3265:1,0.018,94.235,34,127,2.62,0.861,0.136,0.129,0.785,1.051,0.952,1,59,,ה,,,,,,3,,,,,
,,47,Frg_2ii_א_char.tif:0001-1148-3137:1,0.015,84.977,33,134,2.532,0.868,0.1,0.154,0.751,1.533,0.652,1,60,,ו,,,,,,3,,,,,
,,54,Frg_2ii_א_char.tif:0001-1161-6822:1,7.77E-04,97.405,47,255,5.6,0.943,0.03,0.026,0.779,1.194,0.838,1,61,,ש,,,,,,4,,damaged,,,
,,55,Frg_2ii_א_char.tif:0001-1213-6719:1,0.007,107.319,27,255,5.489,0.955,0.083,0.088,0.785,1.059,0.944,1,62,,י,,,,,,4,,damaged,,,
,,218,Frg_2ii_א_char.tif:0001-1268-6599:1,0.01,109.383,76,128,5.374,1.002,0.115,0.085,0.767,1.359,0.736,1,63,, ,,,,,,4,,,,,
,,56,Frg_2ii_א_char.tif:0001-1273-6450:1,0.018,66.731,27,122,5.244,0.978,0.13,0.141,0.784,1.082,0.924,1,64,,מ,,,,,,4,,,,,
,,57,Frg_2ii_א_char.tif:0001-1317-6287:1,0.019,68.086,27,120,5.118,1.002,0.114,0.165,0.759,1.449,0.69,1,65,,צ,,,,,,4,,,,,
,,58,Frg_2ii_א_char.tif:0001-1306-6189:1,0.01,68.119,22,121,5.053,1.016,0.083,0.119,0.76,1.436,0.697,1,66,,ו,,,,,,4,,,,,
,,59,Frg_2ii_א_char.tif:0001-1318-6087:1,0.013,74.411,28,126,4.963,1.018,0.094,0.134,0.761,1.43,0.699,1,67,,ו,,,,,,4,,,,,
,,60,Frg_2ii_א_char.tif:0001-1334-5971:1,0.022,72.24,27,127,4.849,1.015,0.131,0.167,0.774,1.277,0.783,1,68,,ת,,,,,,4,,,,,
,,61,Frg_2ii_א_char.tif:0001-1338-5833:1,0.018,83.52,26,130,4.741,1.026,0.12,0.151,0.775,1.26,0.793,1,69,,ו,,,,,,4,,damaged,,,
,,219,Frg_2ii_א_char.tif:0001-1372-5674:1,0.012,105.374,83,125,4.6,1.088,0.141,0.082,0.731,1.71,0.585,1,70,, ,,,,,,4,,,,,
,,62,Frg_2ii_א_char.tif:0001-1348-5541:1,0.009,83.943,30,129,4.522,1.049,0.078,0.12,0.75,1.537,0.651,1,71,,ו,,,,,,4,,,,,
,,63,Frg_2ii_א_char.tif:0001-1241-5365:1,0.045,86.863,27,129,4.344,0.865,0.143,0.313,0.677,2.184,0.458,1,72,,ל,,,,,,4,,damaged,,,
