 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
111,111,authority,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-authority.html,0,header,,,,
112,112,availability,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-availability.html,1,header,,,,
113,113,back,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-back.html,1,textStruct,,,,
114,114,bibl,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bibl.html,1,core,,,,
115,115,biblFull,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblFull.html,,header,,,,
116,116,biblScope,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblScope.html,,core,,,,
117,117,biblStruct,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-biblStruct.html,,core,,,,
118,118,bicond,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bicond.html,0,iso-fs,,,,
119,119,binary,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binary.html,0,iso-fs,,,,
120,120,binaryObject,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binaryObject.html,1,core,,,,
121,121,binding,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-binding.html,,msdescription,,,,
122,122,bindingDesc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bindingDesc.html,,msdescription,,,,
123,123,birth,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-birth.html,,namesdates,,,,
124,124,bloc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-bloc.html,1,namesdates,,,,
125,125,body,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-body.html,1,textStruct,,,,
126,126,broadcast,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-broadcast.html,0,spoken,,,,
127,127,byline,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-byline.html,1,textStruct,,,,
128,128,c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-c.html,1,analysis,,,,
129,129,caesura,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-caesura.html,1,verse,,,,
130,130,calendar,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-calendar.html,,header,,,,
131,131,calendarDesc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-calendarDesc.html,,header,,,,
132,132,camera,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-camera.html,,drama,,,,
133,133,caption,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-caption.html,,drama,,,,
134,134,case,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-case.html,,dictionary,,,,
135,135,castGroup,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-castGroup.html,0,drama,,,,
136,136,castItem,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-castItem.html,0,drama,,,,
137,137,castList,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-castList.html,0,drama,,,,
138,138,catchwords,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-catchwords.html,,msdescription,,,,
139,139,catDesc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-catDesc.html,,header,,,,
140,140,category,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-category.html,,header,,,,
141,141,catRef,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-catRef.html,,header,,,,
142,142,cb,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-cb.html,1,core,,,,
143,143,cell,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-cell.html,,figures,,,,
144,144,certainty,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-certainty.html,,certainty,,,,
145,145,change,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-change.html,,header,,,,
146,146,channel,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-channel.html,,corpus,,,,
147,147,char,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-char.html,,gaija,,,,
148,148,charDecl,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-charDecl.html,,gaija,,,,
149,149,charName,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-charName.html,,gaija,,,,
150,150,charProp,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-charProp.html,,gaija,,,,
151,151,choice,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-choice.html,1,core,,,,
152,152,cit,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-cit.html,1,core,,,,
153,153,citedRange,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-citedRange.html,,core,,,,
154,154,cl,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-cl.html,1,analysis,,,,
155,155,classCode,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-classCode.html,,header,,,,
156,156,classDecl,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-classDecl.html,,header,,,,
157,157,classes,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-classes.html,,tagdocs,,,,
158,158,classRef,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-classRef.html,,tagdocs,,,,
159,159,classSpec,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-classSpec.html,,tagdocs,,,,
160,160,climate,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-climate.html,,namesdates,,,,
161,161,closer,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-closer.html,,textStruct,,,,
162,162,code,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-code.html,,tagdocs,,,,
163,163,collation,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-collation.html,,msdescription,,,,
164,164,collection,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-collection.html,,msdescription,,,,
165,165,colloc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-colloc.html,,dictionary,,,,
166,166,colophon,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-colophon.html,,msdescription,,,,
167,167,cond,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-cond.html,,iso-fs,,,,
168,168,condition,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-condition.html,,msdescription,,,,
169,169,constitution,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-constitution.html,,corpus,,,,
170,170,constraint,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-constraint.html,,tagdocs,,,,
171,171,constraintSpec,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-constraintSpec.html,,tagdocs,,,,
172,172,content,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-content.html,,tagdocs,,,,
173,173,corr,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-corr.html,1,core,,,,
174,174,correspAction,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-correspAction.html,,header,,,,
175,175,correspDesc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-correspDesc.html,,header,,,,
176,176,correspContext,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-correspContext.html,,header,,,,
177,177,correction,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-correction.html,,header,,,,
178,178,country,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-country.html,,namesdates,,,,
179,179,creation,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-creation.html,,header,,,,
180,180,cRefPattern,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-cRefPattern.html,,header,,,,
181,181,custEvent,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-custEvent.html,,msdescription,,,,
182,182,custodialHist,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-custodialHist.html,,msdescription,,,,
183,183,damage,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-damage.html,1,transc,"Damage; cf. gap, del, unclear, and supplied",,,
184,184,damageSpan,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-damageSpan.html,1,transc,,,,
185,185,data.certainty,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.certainty.html,,TEI infrastructure,,,,
186,186,data.count,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.count.html,,TEI infrastructure,,,,
187,187,data.duration.iso,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.duration.iso.html,,TEI infrastructure,,,,
188,188,data.duration.w3c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.duration.w3c.html,,TEI infrastructure,,,,
189,189,data.enumerated,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.enumerated.html,,TEI infrastructure,,,,
190,190,data.language,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.language.html,,TEI infrastructure,,,,
191,191,data.name,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.name.html,,TEI infrastructure,,,,
192,192,data.namespace,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.namespace.html,,TEI infrastructure,,,,
193,193,data.numeric,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.numeric.html,,TEI infrastructure,,,,
194,194,data.outputMeasurement,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.outputMeasurement.html,,TEI infrastructure,,,,
195,195,data.pattern,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.pattern.html,,TEI infrastructure,,,,
196,196,data.point,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.point.html,,TEI infrastructure,,,,
197,197,data.pointer,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.pointer.html,,TEI infrastructure,,,,
198,198,data.probability,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.probability.html,,TEI infrastructure,,,,
199,199,data.sex,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.sex.html,,TEI infrastructure,,,,
200,200,data.temporal.iso,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.temporal.iso.html,,TEI infrastructure,,,,
201,201,data.temporal.w3c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.temporal.w3c.html,,TEI infrastructure,,,,
202,202,data.text,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.text.html,,TEI infrastructure,,,,
203,203,data.truthValue,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.truthValue.html,,TEI infrastructure,,,,
204,204,data.version,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.version.html,,TEI infrastructure,,,,
205,205,data.word,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.word.html,,TEI infrastructure,,,,
206,206,data.xTruthValue,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-data.xTruthValue.html,,TEI infrastructure,,,,
207,207,datatype,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-datatype.html,,tagdocs,,,,
208,208,dataRef,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-dataRef.html,,tagdocs,,,,
209,209,dataSpec,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-dataSpec.html,,tagdocs,,,,
210,210,date,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-date.html,1,core,,,,
211,211,dateline,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-dateline.html,,textStruct,,,,
212,212,death,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-death.html,,namesdates,,,,
213,213,decoDesc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-decoDesc.html,,msdescription,,,,
214,214,decoNote,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-decoNote.html,,msdescription,,,,
215,215,def,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-def.html,,dictionary,,,,
216,216,default,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-default.html,,iso-fs,,,,
217,217,defaultVal,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-defaultVal.html,,tagdocs,,,,
218,218,del,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-del.html,,core,,,,
