 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
140,T-S_10K6;1r.tif:0140,11703,57.473,0,157,3223,1221,83,141,159.101,93.655,90,0.733,1.699,0.589,1.000
141,T-S_10K6;1r.tif:0141,14040,70.989,0,154,3111,1233,108,130,146.689,121.865,90,0.779,1.204,0.831,1.000
142,T-S_10K6;1r.tif:0142,6992,75.180,0,153,3060,1229,46,152,171.514,51.905,90,0.560,3.304,0.303,1.000
143,T-S_10K6;1r.tif:0143,5123,104.809,48,170,3013,1231,47,109,122.993,53.034,90,0.661,2.319,0.431,1.000
144,T-S_10K6;1r.tif:0144,14017,54.259,0,164,2906,1221,107,131,147.818,120.737,90,0.777,1.224,0.817,1.000
145,T-S_10K6;1r.tif:0145,10168,67.975,0,156,2846,1223,82,124,139.919,92.527,90,0.753,1.512,0.661,1.000
146,T-S_10K6;1r.tif:0146,3936,51.845,0,145,2806,1228,41,96,108.324,46.264,90,0.659,2.341,0.427,1.000
147,T-S_10K6;1r.tif:0147,22192,70.920,0,152,2670,1231,146,152,171.514,164.743,90,0.785,1.041,0.961,1.000
148,T-S_10K6;1r.tif:0148,3848,103.164,37,153,2634,1243,37,104,117.351,41.750,90,0.608,2.811,0.356,1.000
149,T-S_10K6;1r.tif:0149,12558,66.860,0,193,2542,1225,91,138,155.716,102.683,90,0.752,1.516,0.659,1.000
150,T-S_10K6;1r.tif:0150,14560,49.993,0,178,2425,1228,112,130,146.689,126.378,90,0.781,1.161,0.862,1.000
151,T-S_10K6;1r.tif:0151,16520,52.620,0,142,2289,1231,140,118,157.973,133.149,0,0.780,1.186,0.843,1.000
152,T-S_10K6;1r.tif:0152,10584,61.421,0,143,2211,1228,72,147,165.872,81.243,90,0.693,2.042,0.490,1.000
153,T-S_10K6;1r.tif:0153,3784,56.689,0,139,2171,1235,43,88,99.297,48.520,90,0.693,2.047,0.489,1.000
154,T-S_10K6;1r.tif:0154,15794,52.634,0,129,2067,1227,106,149,168.128,119.608,90,0.763,1.406,0.711,1.000
155,T-S_10K6;1r.tif:0155,10374,97.899,30,151,1976,1233,91,114,128.635,102.683,90,0.776,1.253,0.798,1.000
156,T-S_10K6;1r.tif:0156,11716,50.398,0,133,1875,1232,101,116,130.892,113.966,90,0.782,1.149,0.871,1.000
157,T-S_10K6;1r.tif:0157,13560,50.083,0,126,1760,1221,113,120,135.406,127.507,90,0.785,1.062,0.942,1.000
158,T-S_10K6;1r.tif:0158,11931,50.818,0,139,1659,1212,97,123,138.791,109.453,90,0.774,1.268,0.789,1.000
159,T-S_10K6;1r.tif:0159,3400,57.328,0,135,1618,1220,40,85,95.912,45.135,90,0.684,2.125,0.471,1.000
160,T-S_10K6;1r.tif:0160,14231,72.996,0,144,1508,1205,107,133,150.074,120.737,90,0.776,1.243,0.805,1.000
161,T-S_10K6;1r.tif:0161,3686,100.465,27,138,1470,1211,38,97,109.453,42.878,90,0.635,2.553,0.392,1.000
162,T-S_10K6;1r.tif:0162,16440,55.073,0,146,1333,1200,137,120,154.588,135.406,0,0.782,1.142,0.876,1.000
163,T-S_10K6;1r.tif:0163,14097,62.380,0,136,1232,1203,111,127,143.304,125.250,90,0.782,1.144,0.874,1.000
164,T-S_10K6;1r.tif:0164,3852,84.674,0,206,1193,1209,36,107,120.737,40.622,90,0.592,2.972,0.336,1.000
165,T-S_10K6;1r.tif:0165,12028,63.775,0,161,1093,1206,97,124,139.919,109.453,90,0.774,1.278,0.782,1.000
166,T-S_10K6;1r.tif:0166,4240,68.410,0,135,1030,1228,53,80,90.270,59.804,90,0.753,1.509,0.663,1.000
167,T-S_10K6;1r.tif:0167,24311,71.712,0,196,893,1214,151,161,181.669,170.385,90,0.785,1.066,0.938,1.000
168,T-S_10K6;1r.tif:0168,12870,91.585,0,156,4165,1346,65,198,223.419,73.345,90,0.585,3.046,0.328,1.000
169,T-S_10K6;1r.tif:0169,2210,73.571,0,144,4130,1419,34,65,73.345,38.365,90,0.708,1.912,0.523,1.000
170,T-S_10K6;1r.tif:0170,14640,67.478,0,150,4004,1412,120,122,137.662,135.406,90,0.785,1.017,0.984,1.000
171,T-S_10K6;1r.tif:0171,10208,64.935,0,143,3914,1422,88,116,130.892,99.297,90,0.771,1.318,0.759,1.000
172,T-S_10K6;1r.tif:0172,11160,54.186,0,139,3827,1423,93,120,135.406,104.939,90,0.773,1.290,0.775,1.000
173,T-S_10K6;1r.tif:0173,21780,75.483,0,158,3731,1356,99,220,248.243,111.710,90,0.672,2.222,0.450,1.000
174,T-S_10K6;1r.tif:0174,3465,105.200,27,138,3668,1471,63,55,71.088,62.061,0,0.782,1.145,0.873,1.000
175,T-S_10K6;1r.tif:0175,4930,52.081,0,132,3634,1428,34,145,163.615,38.365,90,0.483,4.265,0.234,1.000
176,T-S_10K6;1r.tif:0176,25410,63.777,0,144,3514,1338,110,231,260.656,124.122,90,0.687,2.100,0.476,1.000
177,T-S_10K6;1r.tif:0177,12750,43.090,0,157,3443,1428,102,125,141.047,115.095,90,0.777,1.225,0.816,1.000
178,T-S_10K6;1r.tif:0178,6783,83.845,18,154,3386,1438,57,119,134.277,64.318,90,0.688,2.088,0.479,1.000
179,T-S_10K6;1r.tif:0179,11060,38.085,0,126,3307,1423,79,140,157.973,89.142,90,0.724,1.772,0.564,1.000
180,T-S_10K6;1r.tif:0180,16065,41.640,0,172,3223,1427,105,153,172.642,118.480,90,0.758,1.457,0.686,1.000
181,T-S_10K6;1r.tif:0181,11088,43.194,0,161,3169,1428,72,154,173.770,81.243,90,0.682,2.139,0.468,1.000
182,T-S_10K6;1r.tif:0182,15147,49.280,0,147,3096,1427,99,153,172.642,111.710,90,0.749,1.545,0.647,1.000
183,T-S_10K6;1r.tif:0183,2592,103.849,42,145,3060,1460,36,72,81.243,40.622,90,0.698,2.000,0.500,1.000
184,T-S_10K6;1r.tif:0184,17679,70.008,0,143,2977,1348,83,213,240.345,93.655,90,0.634,2.566,0.390,1.000
185,T-S_10K6;1r.tif:0185,11176,55.593,0,151,2906,1424,88,127,143.304,99.297,90,0.760,1.443,0.693,1.000
