 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
923,T-S_10K6_1v.tif:0923:T-S_10K6_1v,5394,65.442,0,242,1774,3366,58,93,104.939,65.446,90,0.743,1.603,0.624,1.000
924,T-S_10K6_1v.tif:0924:T-S_10K6_1v,1836,75.673,0,130,1740,3371,34,54,60.932,38.365,90,0.745,1.588,0.630,1.000
925,T-S_10K6_1v.tif:0925:T-S_10K6_1v,308,106.659,75,140,1736,3369,4,77,86.885,4.514,90,0.147,19.250,0.052,1.000
926,T-S_10K6_1v.tif:0926:T-S_10K6_1v,5488,68.294,0,131,1680,3368,56,98,110.581,63.189,90,0.727,1.750,0.571,1.000
927,T-S_10K6_1v.tif:0927:T-S_10K6_1v,2001,67.753,0,131,1663,3372,29,69,77.858,32.723,90,0.655,2.379,0.420,1.000
928,T-S_10K6_1v.tif:0928:T-S_10K6_1v,8928,75.649,0,137,1570,3367,96,93,108.324,104.939,0,0.785,1.032,0.969,1.000
929,T-S_10K6_1v.tif:0929:T-S_10K6_1v,3762,116.110,21,140,1533,3360,38,99,111.710,42.878,90,0.630,2.605,0.384,1.000
930,T-S_10K6_1v.tif:0930:T-S_10K6_1v,3570,71.232,0,136,1499,3354,34,105,118.480,38.365,90,0.580,3.088,0.324,1.000
931,T-S_10K6_1v.tif:0931:T-S_10K6_1v,1770,56.294,0,131,1464,3369,30,59,66.574,33.851,90,0.702,1.967,0.508,1.000
932,T-S_10K6_1v.tif:0932:T-S_10K6_1v,6004,58.768,0,149,1380,3370,79,76,89.142,85.757,0,0.785,1.039,0.962,1.000
933,T-S_10K6_1v.tif:0933:T-S_10K6_1v,2220,52.276,0,114,1344,3372,37,60,67.703,41.750,90,0.741,1.622,0.617,1.000
934,T-S_10K6_1v.tif:0934:T-S_10K6_1v,4900,62.754,0,180,1305,3373,50,98,110.581,56.419,90,0.703,1.960,0.510,1.000
935,T-S_10K6_1v.tif:0935:T-S_10K6_1v,1144,95.889,53,123,1292,3374,13,88,99.297,14.669,90,0.352,6.769,0.148,1.000
936,T-S_10K6_1v.tif:0936:T-S_10K6_1v,4592,53.106,0,132,1236,3374,56,82,92.527,63.189,90,0.758,1.464,0.683,1.000
937,T-S_10K6_1v.tif:0937:T-S_10K6_1v,8256,66.996,0,148,1173,3329,64,129,145.561,72.216,90,0.696,2.016,0.496,1.000
938,T-S_10K6_1v.tif:0938:T-S_10K6_1v,8424,56.813,0,187,1121,3371,78,108,121.865,88.014,90,0.765,1.385,0.722,1.000
939,T-S_10K6_1v.tif:0939:T-S_10K6_1v,1248,87.845,47,116,1109,3363,12,104,117.351,13.541,90,0.291,8.667,0.115,1.000
940,T-S_10K6_1v.tif:0940:T-S_10K6_1v,5159,65.931,0,174,1042,3370,67,77,86.885,75.601,90,0.782,1.149,0.870,1.000
941,T-S_10K6_1v.tif:0941:T-S_10K6_1v,780,64.492,0,130,1027,3398,20,39,44.007,22.568,90,0.704,1.950,0.513,1.000
942,T-S_10K6_1v.tif:0942:T-S_10K6_1v,2765,81.706,0,181,992,3399,35,79,89.142,39.493,90,0.668,2.257,0.443,1.000
943,T-S_10K6_1v.tif:0943:T-S_10K6_1v,3600,98.220,13,217,953,3390,40,90,101.554,45.135,90,0.669,2.250,0.444,1.000
944,T-S_10K6_1v.tif:0944:T-S_10K6_1v,5504,63.890,0,135,889,3387,64,86,97.041,72.216,90,0.769,1.344,0.744,1.000
945,T-S_10K6_1v.tif:0945:T-S_10K6_1v,6636,47.337,0,125,805,3386,79,84,94.784,89.142,90,0.785,1.063,0.940,1.000
946,T-S_10K6_1v.tif:0946:T-S_10K6_1v,7308,57.800,0,134,739,3383,87,84,98.169,94.784,0,0.785,1.036,0.966,1.000
947,T-S_10K6_1v.tif:0947:T-S_10K6_1v,3168,74.762,0,137,708,3378,36,88,99.297,40.622,90,0.647,2.444,0.409,1.000
948,T-S_10K6_1v.tif:0948:T-S_10K6_1v,7029,70.984,0,138,643,3379,71,99,111.710,80.115,90,0.764,1.394,0.717,1.000
949,T-S_10K6_1v.tif:0949:T-S_10K6_1v,5060,60.707,0,206,595,3378,55,92,103.811,62.061,90,0.736,1.673,0.598,1.000
950,T-S_10K6_1v.tif:0950:T-S_10K6_1v,4032,100.723,48,143,553,3368,42,96,108.324,47.392,90,0.665,2.286,0.438,1.000
951,T-S_10K6_1v.tif:0951:T-S_10K6_1v,7347,52.673,0,121,475,3361,79,93,104.939,89.142,90,0.780,1.177,0.849,1.000
952,T-S_10K6_1v.tif:0952:T-S_10K6_1v,7469,65.170,0,162,397,3370,77,97,109.453,86.885,90,0.775,1.260,0.794,1.000
953,T-S_10K6_1v.tif:0953:T-S_10K6_1v,5544,74.780,0,144,2866,3485,66,84,94.784,74.473,90,0.774,1.273,0.786,1.000
954,T-S_10K6_1v.tif:0954:T-S_10K6_1v,8944,65.914,0,136,2777,3501,86,104,117.351,97.041,90,0.778,1.209,0.827,1.000
955,T-S_10K6_1v.tif:0955:T-S_10K6_1v,2516,61.605,0,120,2754,3508,34,74,83.500,38.365,90,0.678,2.176,0.459,1.000
956,T-S_10K6_1v.tif:0956:T-S_10K6_1v,3588,65.266,0,125,2718,3508,39,92,103.811,44.007,90,0.657,2.359,0.424,1.000
957,T-S_10K6_1v.tif:0957:T-S_10K6_1v,8415,60.829,0,130,2638,3507,85,99,111.710,95.912,90,0.781,1.165,0.859,1.000
958,T-S_10K6_1v.tif:0958:T-S_10K6_1v,2352,110.580,75,134,2614,3509,24,98,110.581,27.081,90,0.496,4.083,0.245,1.000
959,T-S_10K6_1v.tif:0959:T-S_10K6_1v,2871,76.821,0,133,2586,3511,29,99,111.710,32.723,90,0.551,3.414,0.293,1.000
960,T-S_10K6_1v.tif:0960:T-S_10K6_1v,7800,100.202,0,147,2528,3447,52,150,169.257,58.676,90,0.601,2.885,0.347,1.000
961,T-S_10K6_1v.tif:0961:T-S_10K6_1v,5046,69.979,0,148,2479,3511,58,87,98.169,65.446,90,0.754,1.500,0.667,1.000
962,T-S_10K6_1v.tif:0962:T-S_10K6_1v,664,102.646,70,130,2471,3512,8,83,93.655,9.027,90,0.252,10.375,0.096,1.000
963,T-S_10K6_1v.tif:0963:T-S_10K6_1v,7298,65.817,0,140,2382,3511,89,82,100.426,92.527,0,0.784,1.085,0.921,1.000
964,T-S_10K6_1v.tif:0964:T-S_10K6_1v,5904,88.454,0,216,2313,3514,72,82,92.527,81.243,90,0.782,1.139,0.878,1.000
965,T-S_10K6_1v.tif:0965:T-S_10K6_1v,4608,68.163,0,182,2250,3516,64,72,81.243,72.216,90,0.783,1.125,0.889,1.000
966,T-S_10K6_1v.tif:0966:T-S_10K6_1v,3999,73.486,0,137,2216,3513,43,93,104.939,48.520,90,0.679,2.163,0.462,1.000
967,T-S_10K6_1v.tif:0967:T-S_10K6_1v,2231,110.037,49,140,2193,3505,23,97,109.453,25.953,90,0.487,4.217,0.237,1.000
968,T-S_10K6_1v.tif:0968:T-S_10K6_1v,7546,74.512,0,137,2116,3498,77,98,110.581,86.885,90,0.774,1.273,0.786,1.000
969,T-S_10K6_1v.tif:0969:T-S_10K6_1v,5856,62.385,0,136,2058,3513,61,96,108.324,68.831,90,0.746,1.574,0.635,1.000
970,T-S_10K6_1v.tif:0970:T-S_10K6_1v,1314,105.425,76,138,2040,3521,18,73,82.372,20.311,90,0.498,4.056,0.247,1.000
971,T-S_10K6_1v.tif:0971:T-S_10K6_1v,6278,76.721,0,220,1967,3510,73,86,97.041,82.372,90,0.780,1.178,0.849,1.000
972,T-S_10K6_1v.tif:0972:T-S_10K6_1v,7038,57.074,0,137,1897,3517,69,102,115.095,77.858,90,0.756,1.478,0.676,1.000
973,T-S_10K6_1v.tif:0973:T-S_10K6_1v,2945,59.238,0,128,1876,3513,31,95,107.196,34.980,90,0.583,3.065,0.326,1.000
974,T-S_10K6_1v.tif:0974:T-S_10K6_1v,7950,67.697,0,134,1802,3518,75,106,119.608,84.628,90,0.762,1.413,0.708,1.000
975,T-S_10K6_1v.tif:0975:T-S_10K6_1v,2548,109.969,52,136,1774,3521,28,91,102.683,31.595,90,0.565,3.250,0.308,1.000
976,T-S_10K6_1v.tif:0976:T-S_10K6_1v,7663,63.643,0,138,1677,3524,97,79,109.453,89.142,0,0.777,1.228,0.814,1.000
977,T-S_10K6_1v.tif:0977:T-S_10K6_1v,7656,69.042,0,145,1619,3513,88,87,99.297,98.169,0,0.785,1.011,0.989,1.000
978,T-S_10K6_1v.tif:0978:T-S_10K6_1v,1705,78.663,0,129,1590,3522,31,55,62.061,34.980,90,0.724,1.774,0.564,1.000
979,T-S_10K6_1v.tif:0979:T-S_10K6_1v,6150,72.121,0,147,1519,3520,75,82,92.527,84.628,90,0.784,1.093,0.915,1.000
980,T-S_10K6_1v.tif:0980:T-S_10K6_1v,6141,54.717,0,136,1456,3519,69,89,100.426,77.858,90,0.773,1.290,0.775,1.000
981,T-S_10K6_1v.tif:0981:T-S_10K6_1v,1330,103.477,0,133,1442,3523,14,95,107.196,15.797,90,0.352,6.786,0.147,1.000
982,T-S_10K6_1v.tif:0982:T-S_10K6_1v,9494,62.426,0,140,1348,3524,94,101,113.966,106.068,90,0.784,1.074,0.931,1.000
983,T-S_10K6_1v.tif:0983:T-S_10K6_1v,5888,75.340,0,155,1307,3530,64,92,103.811,72.216,90,0.760,1.438,0.696,1.000
984,T-S_10K6_1v.tif:0984:T-S_10K6_1v,828,93.455,45,126,1298,3531,9,92,103.811,10.155,90,0.255,10.222,0.098,1.000
985,T-S_10K6_1v.tif:0985:T-S_10K6_1v,6916,70.644,0,197,1222,3531,76,91,102.683,85.757,90,0.779,1.197,0.835,1.000
986,T-S_10K6_1v.tif:0986:T-S_10K6_1v,7452,61.327,0,128,1131,3534,92,81,103.811,91.399,0,0.782,1.136,0.880,1.000
987,T-S_10K6_1v.tif:0987:T-S_10K6_1v,6660,65.005,0,132,1068,3529,74,90,101.554,83.500,90,0.778,1.216,0.822,1.000
988,T-S_10K6_1v.tif:0988:T-S_10K6_1v,2175,94.943,47,129,1043,3534,25,87,98.169,28.209,90,0.545,3.480,0.287,1.000
989,T-S_10K6_1v.tif:0989:T-S_10K6_1v,6256,59.059,0,132,975,3531,68,92,103.811,76.730,90,0.768,1.353,0.739,1.000
990,T-S_10K6_1v.tif:0990:T-S_10K6_1v,5984,57.662,0,124,915,3538,68,88,99.297,76.730,90,0.772,1.294,0.773,1.000
991,T-S_10K6_1v.tif:0991:T-S_10K6_1v,6004,69.601,0,147,840,3541,76,79,89.142,85.757,90,0.785,1.039,0.962,1.000
992,T-S_10K6_1v.tif:0992:T-S_10K6_1v,1620,91.333,46,159,820,3540,20,81,91.399,22.568,90,0.499,4.050,0.247,1.000
993,T-S_10K6_1v.tif:0993:T-S_10K6_1v,5676,72.274,0,216,754,3537,66,86,97.041,74.473,90,0.772,1.303,0.767,1.000
994,T-S_10K6_1v.tif:0994:T-S_10K6_1v,5580,69.050,0,174,696,3540,60,93,104.939,67.703,90,0.749,1.550,0.645,1.000
