 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
46,46,att.combinable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.combinable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.combinable.html</a>,,tagdocs,,,,
47,47,att.coordinated,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.coordinated.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.coordinated.html</a>,1,transc,,,,
48,48,att.cReferencing,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.cReferencing.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.cReferencing.html</a>,,TEI infrastructure,,,,
49,49,att.damaged,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.damaged.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.damaged.html</a>,,TEI infrastructure,,,,
50,50,att.datable.custom,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.custom.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.custom.html</a>,,namesdates,,,,
51,51,att.datable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.html</a>,,TEI infrastructure,,,,
52,52,att.datable.iso,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.iso.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.iso.html</a>,,namesdates,,,,
53,53,att.datable.w3c,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.w3c.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.w3c.html</a>,,TEI infrastructure,,,,
54,54,att.datcat,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datcat.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datcat.html</a>,,TEI infrastructure,,,,
55,55,att.declarable,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declarable.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declarable.html</a>,,TEI infrastructure,,,,
56,56,att.declaring,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declaring.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declaring.html</a>,,TEI infrastructure,,,,
57,57,att.dimensions,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.dimensions.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.dimensions.html</a>,,TEI infrastructure,,,,
58,58,att.divLike,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.divLike.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.divLike.html</a>,,TEI infrastructure,,,,
59,59,att.docStatus,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.docStatus.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.docStatus.html</a>,,TEI infrastructure,,,,
60,60,att.duration,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.html</a>,,spoken,,,,
